project,smell,package,class,prompt_file,context_size,label
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.ui.compilechain,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_compilechain.txt,82305,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.jarscan.freqinlinesize,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_jarscan_freqinlinesize.txt,75987,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.model.assembly,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_model_assembly.txt,96053,1
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.model.assembly.arm,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_model_assembly_arm.txt,22399,0
javaparser,Unstable Dependency,com.github.javaparser.symbolsolver.cache,,data/processed/prompts/unstable_dependency/javaparser/com_github_javaparser_symbolsolver_cache.txt,25085,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.ui.report.suggestion,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_report_suggestion.txt,4492,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.logger,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_logger.txt,36109,0
javaparser,Unstable Dependency,javaparser,,data/processed/prompts/unstable_dependency/javaparser/javaparser.txt,1223,0
javaparser,Unstable Dependency,foo,,data/processed/prompts/unstable_dependency/javaparser/foo.txt,817,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.process.compiler,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_process_compiler.txt,13175,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.inline,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_inline.txt,38494,0
javaparser,Unstable Dependency,implements.duplicate,,data/processed/prompts/unstable_dependency/javaparser/implements_duplicate.txt,330,0
zxing,Unstable Dependency,com.google.zxing.web.generator.client,,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_web_generator_client.txt,15564,0
zxing,Unstable Dependency,com.google.zxing.client.android.result.supplement,,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_client_android_result_supplement.txt,85742,0
gson,Unstable Dependency,com.google.gson.extras.examples.rawcollections,,data/processed/prompts/unstable_dependency/gson/com_google_gson_extras_examples_rawcollections.txt,82514,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.ui.nmethod.compilerthread,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_nmethod_compilerthread.txt,88854,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.ui.compilationchooser,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_compilationchooser.txt,70791,1
zxing,Unstable Dependency,com.google.zxing.maxicode,,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_maxicode.txt,57631,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.report.escapeanalysis,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_report_escapeanalysis.txt,49826,0
javaparser,Unstable Dependency,com.github.javaparser.ast.nodeTypes.modifiers,,data/processed/prompts/unstable_dependency/javaparser/com_github_javaparser_ast_nodeTypes_modifiers.txt,3004,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.jarscan.sequencecount,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_jarscan_sequencecount.txt,26964,0
zxing,Unstable Dependency,com.google.zxing.oned.rss,,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_oned_rss.txt,71512,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.chain,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_chain.txt,62972,0
byte-buddy,Unstable Dependency,org.gradle.work,,data/processed/prompts/unstable_dependency/byte-buddy/org_gradle_work.txt,77832,0
zxing,Unstable Dependency,com.google.zxing.integration.android,,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_integration_android.txt,5139,0
javaparser,Unstable Dependency,demo,,data/processed/prompts/unstable_dependency/javaparser/demo.txt,79550,0
zxing,Unstable Dependency,com.google.zxing.datamatrix.decoder,,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_datamatrix_decoder.txt,85385,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.jarscan.invokecount,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_jarscan_invokecount.txt,49717,0
javaparser,Unstable Dependency,foo.bar.differentpackage,,data/processed/prompts/unstable_dependency/javaparser/foo_bar_differentpackage.txt,633,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.ui.browser,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_browser.txt,46574,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.report.suggestion,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_report_suggestion.txt,85573,0
byte-buddy,Unstable Dependency,net.bytebuddy.benchmark.runner,,data/processed/prompts/unstable_dependency/byte-buddy/net_bytebuddy_benchmark_runner.txt,796,0
javaparser,Unstable Dependency,box,,data/processed/prompts/unstable_dependency/javaparser/box.txt,296,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.ui.toplist,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_toplist.txt,80397,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.intrinsic,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_intrinsic.txt,58951,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.parser.zing,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_parser_zing.txt,92728,0
byte-buddy,Unstable Dependency,net.bytebuddy.benchmark.specimen,,data/processed/prompts/unstable_dependency/byte-buddy/net_bytebuddy_benchmark_specimen.txt,32882,0
zxing,Unstable Dependency,com.google.zxing.aztec,,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_aztec.txt,94103,1
javaparser,Unstable Dependency,bar,,data/processed/prompts/unstable_dependency/javaparser/bar.txt,255,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.ui,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui.txt,81971,0
zxing,Unstable Dependency,com.google.zxing.multi.qrcode.detector,,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_multi_qrcode_detector.txt,76987,0
javaparser,Unstable Dependency,com.packageName,,data/processed/prompts/unstable_dependency/javaparser/com_packageName.txt,15849,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.ui.filechooser,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_filechooser.txt,62061,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.hotthrow,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_hotthrow.txt,82637,0
gson,Unstable Dependency,com.google.gson.internal.bind.util,,data/processed/prompts/unstable_dependency/gson/com_google_gson_internal_bind_util.txt,86582,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.ui.report.eliminatedallocation,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_report_eliminatedallocation.txt,31692,0
byte-buddy,Unstable Dependency,org.gradle.api.file,,data/processed/prompts/unstable_dependency/byte-buddy/org_gradle_api_file.txt,77730,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.jarscan.methodsizehisto,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_jarscan_methodsizehisto.txt,51515,0
gson,Unstable Dependency,com.example,,data/processed/prompts/unstable_dependency/gson/com_example.txt,99702,0
javaparser,Unstable Dependency,package.b,,data/processed/prompts/unstable_dependency/javaparser/package_b.txt,254,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.report,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_report.txt,49154,1
javaparser,Unstable Dependency,main,,data/processed/prompts/unstable_dependency/javaparser/main.txt,1246,0
zxing,Unstable Dependency,com.google.zxing.client.android.share,,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_client_android_share.txt,71531,0
gson,Unstable Dependency,com.google.gson.protobuf,,data/processed/prompts/unstable_dependency/gson/com_google_gson_protobuf.txt,93494,0
zxing,Unstable Dependency,com.google.zxing.aztec.detector,,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_aztec_detector.txt,92988,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.process.runtime,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_process_runtime.txt,27968,1
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.jarscan.nextinstruction,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_jarscan_nextinstruction.txt,26964,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.demo,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_demo.txt,3128,0
javaparser,Unstable Dependency,(default package),,data/processed/prompts/unstable_dependency/javaparser/(default package).txt,16467,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.jarscan.allocationcount,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_jarscan_allocationcount.txt,25569,0
zxing,Unstable Dependency,com.google.zxing.pdf417.decoder.ec,,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_pdf417_decoder_ec.txt,92876,0
javaparser,Unstable Dependency,com.github.javaparser.symbolsolver.reflectionmodel.comparators,,data/processed/prompts/unstable_dependency/javaparser/com_github_javaparser_symbolsolver_reflectionmodel_comparators.txt,27218,0
javaparser,Unstable Dependency,com.github.javaparser.javasymbolsolver.javassist.symbols.main.jar,,data/processed/prompts/unstable_dependency/javaparser/com_github_javaparser_javasymbolsolver_javassist_symbols_main_jar.txt,1600,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.ui.stage,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_stage.txt,88797,1
byte-buddy,Unstable Dependency,com.service.usage2,,data/processed/prompts/unstable_dependency/byte-buddy/com_service_usage2.txt,422,0
javaparser,Unstable Dependency,com.foo.base,,data/processed/prompts/unstable_dependency/javaparser/com_foo_base.txt,291,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.ui.report.locks,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_report_locks.txt,31694,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.jarscan.visualiser,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_jarscan_visualiser.txt,26263,0
javaparser,Unstable Dependency,com.github.javaparser.testpackage,,data/processed/prompts/unstable_dependency/javaparser/com_github_javaparser_testpackage.txt,284,0
byte-buddy,Unstable Dependency,com.service.usage,,data/processed/prompts/unstable_dependency/byte-buddy/com_service_usage.txt,419,0
commons-io,Unstable Dependency,org.apache.commons.io.file.spi,,data/processed/prompts/unstable_dependency/commons-io/org_apache_commons_io_file_spi.txt,1082,0
zxing,Unstable Dependency,com.google.zxing.aztec.decoder,,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_aztec_decoder.txt,82682,0
javaparser,Unstable Dependency,another,,data/processed/prompts/unstable_dependency/javaparser/another.txt,341,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.ui.report,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_report.txt,94223,0
javaparser,Unstable Dependency,groovy.transform.builder,,data/processed/prompts/unstable_dependency/javaparser/groovy_transform_builder.txt,3743,0
javaparser,Unstable Dependency,com.github.javaparser.javasymbolsolver.javassist.symbols.included.jar,,data/processed/prompts/unstable_dependency/javaparser/com_github_javaparser_javasymbolsolver_javassist_symbols_included_jar.txt,369,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.compilation.codecache,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_compilation_codecache.txt,52942,0
javaparser,Unstable Dependency,issue1945.interfaces,,data/processed/prompts/unstable_dependency/javaparser/issue1945_interfaces.txt,1099,0
zxing,Unstable Dependency,com.google.zxing.client.android.history,,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_client_android_history.txt,87940,1
javaparser,Unstable Dependency,com.github.javaparser.wiki.samples,,data/processed/prompts/unstable_dependency/javaparser/com_github_javaparser_wiki_samples.txt,306,0
zxing,Unstable Dependency,com.google.zxing.client.android.clipboard,,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_client_android_clipboard.txt,53005,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.ui.resize,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_resize.txt,16975,0
javaparser,Unstable Dependency,com.github.javaparser.resolution.promotion,,data/processed/prompts/unstable_dependency/javaparser/com_github_javaparser_resolution_promotion.txt,48146,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.ui.viewer,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_viewer.txt,90715,0
javaparser,Unstable Dependency,a.b.c,,data/processed/prompts/unstable_dependency/javaparser/a_b_c.txt,536,0
javaparser,Unstable Dependency,com.github.javaparser.storage,,data/processed/prompts/unstable_dependency/javaparser/com_github_javaparser_storage.txt,265,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.treevisitor,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_treevisitor.txt,43405,0
commons-lang,Unstable Dependency,org.apache.commons.lang3.event,,data/processed/prompts/unstable_dependency/commons-lang/org_apache_commons_lang3_event.txt,67193,0
zxing,Unstable Dependency,com.google.zxing.multi.qrcode,,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_multi_qrcode.txt,55440,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.ui.parserchooser,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_parserchooser.txt,27775,1
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.histo,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_histo.txt,42372,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.toplist,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_toplist.txt,66694,1
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.model.assembly.x86,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_model_assembly_x86.txt,20618,0
javaparser,Unstable Dependency,com.github.javaparser.symbolsolver.declarations.common,,data/processed/prompts/unstable_dependency/javaparser/com_github_javaparser_symbolsolver_declarations_common.txt,96878,0
jitwatch,Unstable Dependency,org.adoptopenjdk.jitwatch.process.javap,,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_process_javap.txt,16869,1
zxing,Unstable Dependency,com.google.zxing.client.android.camera,,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_client_android_camera.txt,59626,0
zxing,Unstable Dependency,com.google.zxing.pdf417.detector,,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_pdf417_detector.txt,89093,0
javaparser,Unstable Dependency,a,,data/processed/prompts/unstable_dependency/javaparser/a.txt,453,0
javaparser,Unstable Dependency,issue241,,data/processed/prompts/unstable_dependency/javaparser/issue241.txt,304,0
zxing,Unstable Dependency,com.google.zxing.client.android.camera.open,,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_client_android_camera_open.txt,12351,0
